
Xzone.exe:     file format pei-x86-64


Disassembly of section .text:

0000000000401000 <__mingw_invalidParameterHandler>:
  401000:	c3                   	retq   
  40229b:	0f 85 0f 01 00 00    	jne    4023b0 <_gnu_exception_handler+0x180>
  4022a1:	48 8b 05 98 53 00 00 	mov    0x5398(%rip),%rax        # 407640 <__mingw_oldexcpt_handler>
  4022a8:	48 85 c0             	test   %rax,%rax
  4022ab:	0f 84 10 01 00 00    	je     4023c1 <_gnu_exception_handler+0x191>
  4022b1:	48 89 d9             	mov    %rbx,%rcx
  4022b4:	48 83 c4 20          	add    $0x20,%rsp
  4022b8:	5b                   	pop    %rbx
  4022b9:	48 ff e0             	rex.W jmpq *%rax
  4022bc:	0f 1f 40 00          	nopl   0x0(%rax)
  4022c0:	3d 94 00 00 c0       	cmp    $0xc0000094,%eax
  4022c5:	0f 84 b5 00 00 00    	je     402380 <_gnu_exception_handler+0x150>
  4022cb:	77 58                	ja     402325 <_gnu_exception_handler+0xf5>
  4022cd:	3d 92 00 00 c0       	cmp    $0xc0000092,%eax
  4022d2:	74 46                	je     40231a <_gnu_exception_handler+0xea>
  4022d4:	3d 93 00 00 c0       	cmp    $0xc0000093,%eax
  4022d9:	75 c6                	jne    4022a1 <_gnu_exception_handler+0x71>
  4022db:	31 d2                	xor    %edx,%edx
  4022dd:	b9 08 00 00 00       	mov    $0x8,%ecx
  4022e2:	e8 e1 07 00 00       	callq  402ac8 <signal>
  4022e7:	48 83 f8 01          	cmp    $0x1,%rax
  4022eb:	0f 84 df 00 00 00    	je     4023d0 <_gnu_exception_handler+0x1a0>
  4022f1:	48 85 c0             	test   %rax,%rax
  4022f4:	74 ab                	je     4022a1 <_gnu_exception_handler+0x71>
  4022f6:	b9 08 00 00 00       	mov    $0x8,%ecx
  4022fb:	ff d0                	callq  *%rax
  4022fd:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
  402302:	48 83 c4 20          	add    $0x20,%rsp
  402306:	5b                   	pop    %rbx
  402307:	c3                   	retq   
  402308:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  40230f:	00 
  402310:	f6 42 04 01          	testb  $0x1,0x4(%rdx)
  402314:	0f 85 37 ff ff ff    	jne    402251 <_gnu_exception_handler+0x21>
  40231a:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
  40231f:	48 83 c4 20          	add    $0x20,%rsp
  402323:	5b                   	pop    %rbx
  402324:	c3                   	retq   
  402325:	3d 95 00 00 c0       	cmp    $0xc0000095,%eax
  40232a:	74 ee                	je     40231a <_gnu_exception_handler+0xea>
  40232c:	3d 96 00 00 c0       	cmp    $0xc0000096,%eax
  402331:	0f 85 6a ff ff ff    	jne    4022a1 <_gnu_exception_handler+0x71>
  402337:	31 d2                	xor    %edx,%edx
  402339:	b9 04 00 00 00       	mov    $0x4,%ecx
  40233e:	e8 85 07 00 00       	callq  402ac8 <signal>
  402343:	48 83 f8 01          	cmp    $0x1,%rax
  402347:	0f 84 b3 00 00 00    	je     402400 <_gnu_exception_handler+0x1d0>
  40234d:	48 85 c0             	test   %rax,%rax
  402350:	0f 84 4b ff ff ff    	je     4022a1 <_gnu_exception_handler+0x71>
  402356:	b9 04 00 00 00       	mov    $0x4,%ecx
  40235b:	ff d0                	callq  *%rax
  40235d:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
  402362:	eb 9e                	jmp    402302 <_gnu_exception_handler+0xd2>
  402364:	3d 1d 00 00 c0       	cmp    $0xc000001d,%eax
  402369:	74 cc                	je     402337 <_gnu_exception_handler+0x107>
  40236b:	3d 8c 00 00 c0       	cmp    $0xc000008c,%eax
  402370:	0f 85 2b ff ff ff    	jne    4022a1 <_gnu_exception_handler+0x71>
  402376:	eb a2                	jmp    40231a <_gnu_exception_handler+0xea>
  402378:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  40237f:	00 
  402380:	31 d2                	xor    %edx,%edx
  402382:	b9 08 00 00 00       	mov    $0x8,%ecx
  402387:	e8 3c 07 00 00       	callq  402ac8 <signal>
  40238c:	48 83 f8 01          	cmp    $0x1,%rax
  402390:	0f 85 5b ff ff ff    	jne    4022f1 <_gnu_exception_handler+0xc1>
  402396:	ba 01 00 00 00       	mov    $0x1,%edx
  40239b:	b9 08 00 00 00       	mov    $0x8,%ecx
  4023a0:	e8 23 07 00 00       	callq  402ac8 <signal>
  4023a5:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
  4023aa:	e9 53 ff ff ff       	jmpq   402302 <_gnu_exception_handler+0xd2>
  4023af:	90                   	nop
  4023b0:	b9 0b 00 00 00       	mov    $0xb,%ecx
  4023b5:	ff d0                	callq  *%rax
  4023b7:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
  4023bc:	e9 41 ff ff ff       	jmpq   402302 <_gnu_exception_handler+0xd2>
  4023c1:	31 c0                	xor    %eax,%eax
  4023c3:	e9 3a ff ff ff       	jmpq   402302 <_gnu_exception_handler+0xd2>
  4023c8:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  4023cf:	00 
  4023d0:	ba 01 00 00 00       	mov    $0x1,%edx
  4023d5:	b9 08 00 00 00       	mov    $0x8,%ecx
  4023da:	e8 e9 06 00 00       	callq  402ac8 <signal>
  4023df:	e8 fc f6 ff ff       	callq  401ae0 <_fpreset>
  4023e4:	e9 31 ff ff ff       	jmpq   40231a <_gnu_exception_handler+0xea>
  4023e9:	ba 01 00 00 00       	mov    $0x1,%edx
  4023ee:	b9 0b 00 00 00       	mov    $0xb,%ecx
  4023f3:	e8 d0 06 00 00       	callq  402ac8 <signal>
  4023f8:	83 c8 ff             	or     $0xffffffff,%eax
  4023fb:	e9 02 ff ff ff       	jmpq   402302 <_gnu_exception_handler+0xd2>
  402400:	ba 01 00 00 00       	mov    $0x1,%edx
  402405:	b9 04 00 00 00       	mov    $0x4,%ecx
  40240a:	e8 b9 06 00 00       	callq  402ac8 <signal>
  40240f:	83 c8 ff             	or     $0xffffffff,%eax
  402412:	e9 eb fe ff ff       	jmpq   402302 <_gnu_exception_handler+0xd2>
  402417:	90                   	nop
  402418:	90                   	nop
  402419:	90                   	nop
  40241a:	90                   	nop
  40241b:	90                   	nop
  40241c:	90                   	nop
  40241d:	90                   	nop
  40241e:	90                   	nop
  40241f:	90                   	nop

0000000000402420 <__mingwthr_run_key_dtors.part.0>:
  402420:	55                   	push   %rbp
  402421:	57                   	push   %rdi
  402422:	56                   	push   %rsi
  402423:	53                   	push   %rbx
  402424:	48 83 ec 28          	sub    $0x28,%rsp
  402428:	48 8d 0d d1 54 00 00 	lea    0x54d1(%rip),%rcx        # 407900 <__mingwthr_cs>
  40242f:	ff 15 bf 5d 00 00    	callq  *0x5dbf(%rip)        # 4081f4 <__imp_EnterCriticalSection>
  402435:	48 8b 1d a4 54 00 00 	mov    0x54a4(%rip),%rbx        # 4078e0 <key_dtor_list>
  40243c:	48 85 db             	test   %rbx,%rbx
  40243f:	74 33                	je     402474 <__mingwthr_run_key_dtors.part.0+0x54>
  402441:	48 8b 2d 3c 5e 00 00 	mov    0x5e3c(%rip),%rbp        # 408284 <__imp_TlsGetValue>
  402448:	48 8b 3d c5 5d 00 00 	mov    0x5dc5(%rip),%rdi        # 408214 <__imp_GetLastError>
  40244f:	90                   	nop
  402450:	8b 0b                	mov    (%rbx),%ecx
  402452:	ff d5                	callq  *%rbp
  402454:	48 89 c6             	mov    %rax,%rsi
  402457:	ff d7                	callq  *%rdi
  402459:	85 c0                	test   %eax,%eax
  40245b:	75 0e                	jne    40246b <__mingwthr_run_key_dtors.part.0+0x4b>
  40245d:	48 85 f6             	test   %rsi,%rsi
  402460:	74 09                	je     40246b <__mingwthr_run_key_dtors.part.0+0x4b>
  402462:	48 8b 43 08          	mov    0x8(%rbx),%rax
  402466:	48 89 f1             	mov    %rsi,%rcx
  402469:	ff d0                	callq  *%rax
  40246b:	48 8b 5b 10          	mov    0x10(%rbx),%rbx
  40246f:	48 85 db             	test   %rbx,%rbx
  402472:	75 dc                	jne    402450 <__mingwthr_run_key_dtors.part.0+0x30>
  402474:	48 8d 0d 85 54 00 00 	lea    0x5485(%rip),%rcx        # 407900 <__mingwthr_cs>
  40247b:	48 83 c4 28          	add    $0x28,%rsp
  40247f:	5b                   	pop    %rbx
  402480:	5e                   	pop    %rsi
  402481:	5f                   	pop    %rdi
  402482:	5d                   	pop    %rbp
  402483:	48 ff 25 b2 5d 00 00 	rex.W jmpq *0x5db2(%rip)        # 40823c <__imp_LeaveCriticalSection>
  40248a:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)

0000000000402490 <___w64_mingwthr_add_key_dtor>:
  402490:	55                   	push   %rbp
  402491:	57                   	push   %rdi
  402492:	56                   	push   %rsi
  402493:	53                   	push   %rbx
  402494:	48 83 ec 28          	sub    $0x28,%rsp
  402498:	8b 05 4a 54 00 00    	mov    0x544a(%rip),%eax        # 4078e8 <__mingwthr_cs_init>
  40249e:	31 f6                	xor    %esi,%esi
  4024a0:	85 c0                	test   %eax,%eax
  4024a2:	89 cd                	mov    %ecx,%ebp
  4024a4:	48 89 d7             	mov    %rdx,%rdi
  4024a7:	75 0b                	jne    4024b4 <___w64_mingwthr_add_key_dtor+0x24>
  4024a9:	89 f0                	mov    %esi,%eax
  4024ab:	48 83 c4 28          	add    $0x28,%rsp
  4024af:	5b                   	pop    %rbx
  4024b0:	5e                   	pop    %rsi
  4024b1:	5f                   	pop    %rdi
  4024b2:	5d                   	pop    %rbp
  4024b3:	c3                   	retq   
  4024b4:	ba 18 00 00 00       	mov    $0x18,%edx
  4024b9:	b9 01 00 00 00       	mov    $0x1,%ecx
  4024be:	e8 5d 06 00 00       	callq  402b20 <calloc>
  4024c3:	48 85 c0             	test   %rax,%rax
  4024c6:	48 89 c3             	mov    %rax,%rbx
  4024c9:	74 3d                	je     402508 <___w64_mingwthr_add_key_dtor+0x78>
  4024cb:	89 28                	mov    %ebp,(%rax)
  4024cd:	48 8d 0d 2c 54 00 00 	lea    0x542c(%rip),%rcx        # 407900 <__mingwthr_cs>
  4024d4:	48 89 78 08          	mov    %rdi,0x8(%rax)
  4024d8:	ff 15 16 5d 00 00    	callq  *0x5d16(%rip)        # 4081f4 <__imp_EnterCriticalSection>
  4024de:	48 8b 05 fb 53 00 00 	mov    0x53fb(%rip),%rax        # 4078e0 <key_dtor_list>
  4024e5:	48 8d 0d 14 54 00 00 	lea    0x5414(%rip),%rcx        # 407900 <__mingwthr_cs>
  4024ec:	48 89 1d ed 53 00 00 	mov    %rbx,0x53ed(%rip)        # 4078e0 <key_dtor_list>
  4024f3:	48 89 43 10          	mov    %rax,0x10(%rbx)
  4024f7:	ff 15 3f 5d 00 00    	callq  *0x5d3f(%rip)        # 40823c <__imp_LeaveCriticalSection>
  4024fd:	89 f0                	mov    %esi,%eax
  4024ff:	48 83 c4 28          	add    $0x28,%rsp
  402503:	5b                   	pop    %rbx
  402504:	5e                   	pop    %rsi
  402505:	5f                   	pop    %rdi
  402506:	5d                   	pop    %rbp
  402507:	c3                   	retq   
  402508:	be ff ff ff ff       	mov    $0xffffffff,%esi
  40250d:	eb 9a                	jmp    4024a9 <___w64_mingwthr_add_key_dtor+0x19>
  40250f:	90                   	nop

0000000000402510 <___w64_mingwthr_remove_key_dtor>:
  402510:	53                   	push   %rbx
  402511:	48 83 ec 20          	sub    $0x20,%rsp
  402515:	8b 05 cd 53 00 00    	mov    0x53cd(%rip),%eax        # 4078e8 <__mingwthr_cs_init>
  40251b:	85 c0                	test   %eax,%eax
  40251d:	89 cb                	mov    %ecx,%ebx
  40251f:	75 0f                	jne    402530 <___w64_mingwthr_remove_key_dtor+0x20>
  402521:	31 c0                	xor    %eax,%eax
  402523:	48 83 c4 20          	add    $0x20,%rsp
  402527:	5b                   	pop    %rbx
  402528:	c3                   	retq   
  402529:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
  402530:	48 8d 0d c9 53 00 00 	lea    0x53c9(%rip),%rcx        # 407900 <__mingwthr_cs>
  402537:	ff 15 b7 5c 00 00    	callq  *0x5cb7(%rip)        # 4081f4 <__imp_EnterCriticalSection>
  40253d:	48 8b 05 9c 53 00 00 	mov    0x539c(%rip),%rax        # 4078e0 <key_dtor_list>
  402544:	48 85 c0             	test   %rax,%rax
  402547:	74 1a                	je     402563 <___w64_mingwthr_remove_key_dtor+0x53>
  402549:	8b 10                	mov    (%rax),%edx
  40254b:	39 d3                	cmp    %edx,%ebx
  40254d:	75 0b                	jne    40255a <___w64_mingwthr_remove_key_dtor+0x4a>
  40254f:	eb 4f                	jmp    4025a0 <___w64_mingwthr_remove_key_dtor+0x90>
  402551:	8b 11                	mov    (%rcx),%edx
  402553:	39 da                	cmp    %ebx,%edx
  402555:	74 29                	je     402580 <___w64_mingwthr_remove_key_dtor+0x70>
  402557:	48 89 c8             	mov    %rcx,%rax
  40255a:	48 8b 48 10          	mov    0x10(%rax),%rcx
  40255e:	48 85 c9             	test   %rcx,%rcx
  402561:	75 ee                	jne    402551 <___w64_mingwthr_remove_key_dtor+0x41>
  402563:	48 8d 0d 96 53 00 00 	lea    0x5396(%rip),%rcx        # 407900 <__mingwthr_cs>
  40256a:	ff 15 cc 5c 00 00    	callq  *0x5ccc(%rip)        # 40823c <__imp_LeaveCriticalSection>
  402570:	31 c0                	xor    %eax,%eax
  402572:	48 83 c4 20          	add    $0x20,%rsp
  402576:	5b                   	pop    %rbx
  402577:	c3                   	retq   
  402578:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  40257f:	00 
  402580:	48 8b 51 10          	mov    0x10(%rcx),%rdx
  402584:	48 89 50 10          	mov    %rdx,0x10(%rax)
  402588:	e8 7b 05 00 00       	callq  402b08 <free>
  40258d:	48 8d 0d 6c 53 00 00 	lea    0x536c(%rip),%rcx        # 407900 <__mingwthr_cs>
  402594:	ff 15 a2 5c 00 00    	callq  *0x5ca2(%rip)        # 40823c <__imp_LeaveCriticalSection>
  40259a:	eb d4                	jmp    402570 <___w64_mingwthr_remove_key_dtor+0x60>
  40259c:	0f 1f 40 00          	nopl   0x0(%rax)
  4025a0:	48 8b 50 10          	mov    0x10(%rax),%rdx
  4025a4:	48 89 c1             	mov    %rax,%rcx
  4025a7:	48 89 15 32 53 00 00 	mov    %rdx,0x5332(%rip)        # 4078e0 <key_dtor_list>
  4025ae:	eb d8                	jmp    402588 <___w64_mingwthr_remove_key_dtor+0x78>

00000000004025b0 <__mingw_TLScallback>:
  4025b0:	53                   	push   %rbx
  4025b1:	48 83 ec 20          	sub    $0x20,%rsp
  4025b5:	83 fa 01             	cmp    $0x1,%edx
  4025b8:	0f 84 92 00 00 00    	je     402650 <__mingw_TLScallback+0xa0>
  4025be:	72 30                	jb     4025f0 <__mingw_TLScallback+0x40>
  4025c0:	83 fa 02             	cmp    $0x2,%edx
  4025c3:	74 1b                	je     4025e0 <__mingw_TLScallback+0x30>
  4025c5:	83 fa 03             	cmp    $0x3,%edx
  4025c8:	75 1b                	jne    4025e5 <__mingw_TLScallback+0x35>
  4025ca:	8b 05 18 53 00 00    	mov    0x5318(%rip),%eax        # 4078e8 <__mingwthr_cs_init>
  4025d0:	85 c0                	test   %eax,%eax
  4025d2:	74 11                	je     4025e5 <__mingw_TLScallback+0x35>
  4025d4:	e8 47 fe ff ff       	callq  402420 <__mingwthr_run_key_dtors.part.0>
  4025d9:	eb 0a                	jmp    4025e5 <__mingw_TLScallback+0x35>
  4025db:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
  4025e0:	e8 fb f4 ff ff       	callq  401ae0 <_fpreset>
  4025e5:	b8 01 00 00 00       	mov    $0x1,%eax
  4025ea:	48 83 c4 20          	add    $0x20,%rsp
  4025ee:	5b                   	pop    %rbx
  4025ef:	c3                   	retq   
  4025f0:	8b 05 f2 52 00 00    	mov    0x52f2(%rip),%eax        # 4078e8 <__mingwthr_cs_init>
  4025f6:	85 c0                	test   %eax,%eax
  4025f8:	0f 85 82 00 00 00    	jne    402680 <__mingw_TLScallback+0xd0>
  4025fe:	8b 05 e4 52 00 00    	mov    0x52e4(%rip),%eax        # 4078e8 <__mingwthr_cs_init>
  402604:	83 f8 01             	cmp    $0x1,%eax
  402607:	75 dc                	jne    4025e5 <__mingw_TLScallback+0x35>
  402609:	48 8b 0d d0 52 00 00 	mov    0x52d0(%rip),%rcx        # 4078e0 <key_dtor_list>
  402610:	48 85 c9             	test   %rcx,%rcx
  402613:	74 11                	je     402626 <__mingw_TLScallback+0x76>
  402615:	48 8b 59 10          	mov    0x10(%rcx),%rbx
  402619:	e8 ea 04 00 00       	callq  402b08 <free>
  40261e:	48 85 db             	test   %rbx,%rbx
  402621:	48 89 d9             	mov    %rbx,%rcx
  402624:	75 ef                	jne    402615 <__mingw_TLScallback+0x65>
  402626:	48 8d 0d d3 52 00 00 	lea    0x52d3(%rip),%rcx        # 407900 <__mingwthr_cs>
  40262d:	48 c7 05 a8 52 00 00 	movq   $0x0,0x52a8(%rip)        # 4078e0 <key_dtor_list>
  402634:	00 00 00 00 
  402638:	c7 05 a6 52 00 00 00 	movl   $0x0,0x52a6(%rip)        # 4078e8 <__mingwthr_cs_init>
  40263f:	00 00 00 
  402642:	ff 15 a4 5b 00 00    	callq  *0x5ba4(%rip)        # 4081ec <__IAT_start__>
  402648:	eb 9b                	jmp    4025e5 <__mingw_TLScallback+0x35>
  40264a:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
  402650:	8b 05 92 52 00 00    	mov    0x5292(%rip),%eax        # 4078e8 <__mingwthr_cs_init>
  402656:	85 c0                	test   %eax,%eax
  402658:	74 16                	je     402670 <__mingw_TLScallback+0xc0>
  40265a:	c7 05 84 52 00 00 01 	movl   $0x1,0x5284(%rip)        # 4078e8 <__mingwthr_cs_init>
  402661:	00 00 00 
  402664:	b8 01 00 00 00       	mov    $0x1,%eax
  402669:	48 83 c4 20          	add    $0x20,%rsp
  40266d:	5b                   	pop    %rbx
  40266e:	c3                   	retq   
  40266f:	90                   	nop
  402670:	48 8d 0d 89 52 00 00 	lea    0x5289(%rip),%rcx        # 407900 <__mingwthr_cs>
  402677:	ff 15 b7 5b 00 00    	callq  *0x5bb7(%rip)        # 408234 <__imp_InitializeCriticalSection>
  40267d:	eb db                	jmp    40265a <__mingw_TLScallback+0xaa>
  40267f:	90                   	nop
  402680:	e8 9b fd ff ff       	callq  402420 <__mingwthr_run_key_dtors.part.0>
  402685:	e9 74 ff ff ff       	jmpq   4025fe <__mingw_TLScallback+0x4e>
  40268a:	90                   	nop
  40268b:	90                   	nop
  40268c:	90                   	nop
  40268d:	90                   	nop
  40268e:	90                   	nop
  40268f:	90                   	nop

0000000000402690 <_ValidateImageBase.part.0>:
  402690:	48 63 41 3c          	movslq 0x3c(%rcx),%rax
  402694:	48 01 c1             	add    %rax,%rcx
  402697:	31 c0                	xor    %eax,%eax
  402699:	81 39 50 45 00 00    	cmpl   $0x4550,(%rcx)
  40269f:	74 01                	je     4026a2 <_ValidateImageBase.part.0+0x12>
  4026a1:	c3                   	retq   
  4026a2:	31 c0                	xor    %eax,%eax
  4026a4:	66 81 79 18 0b 02    	cmpw   $0x20b,0x18(%rcx)
  4026aa:	0f 94 c0             	sete   %al
  4026ad:	c3                   	retq   
  4026ae:	66 90                	xchg   %ax,%ax

00000000004026b0 <_ValidateImageBase>:
  4026b0:	66 81 39 4d 5a       	cmpw   $0x5a4d,(%rcx)
  4026b5:	74 09                	je     4026c0 <_ValidateImageBase+0x10>
  4026b7:	31 c0                	xor    %eax,%eax
  4026b9:	c3                   	retq   
  4026ba:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
  4026c0:	eb ce                	jmp    402690 <_ValidateImageBase.part.0>
  4026c2:	0f 1f 40 00          	nopl   0x0(%rax)
  4026c6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4026cd:	00 00 00 

00000000004026d0 <_FindPESection>:
  4026d0:	48 63 41 3c          	movslq 0x3c(%rcx),%rax
  4026d4:	48 01 c1             	add    %rax,%rcx
  4026d7:	0f b7 41 14          	movzwl 0x14(%rcx),%eax
  4026db:	48 8d 44 01 18       	lea    0x18(%rcx,%rax,1),%rax
  4026e0:	0f b7 49 06          	movzwl 0x6(%rcx),%ecx
  4026e4:	85 c9                	test   %ecx,%ecx
  4026e6:	74 29                	je     402711 <_FindPESection+0x41>
  4026e8:	83 e9 01             	sub    $0x1,%ecx
  4026eb:	48 8d 0c 89          	lea    (%rcx,%rcx,4),%rcx
  4026ef:	4c 8d 4c c8 28       	lea    0x28(%rax,%rcx,8),%r9
  4026f4:	44 8b 40 0c          	mov    0xc(%rax),%r8d
  4026f8:	49 39 d0             	cmp    %rdx,%r8
  4026fb:	4c 89 c1             	mov    %r8,%rcx
  4026fe:	77 08                	ja     402708 <_FindPESection+0x38>
  402700:	03 48 08             	add    0x8(%rax),%ecx
  402703:	48 39 d1             	cmp    %rdx,%rcx
  402706:	77 0b                	ja     402713 <_FindPESection+0x43>
  402708:	48 83 c0 28          	add    $0x28,%rax
  40270c:	4c 39 c8             	cmp    %r9,%rax
  40270f:	75 e3                	jne    4026f4 <_FindPESection+0x24>
  402711:	31 c0                	xor    %eax,%eax
  402713:	c3                   	retq   
  402714:	66 90                	xchg   %ax,%ax
  402716:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  40271d:	00 00 00 

0000000000402720 <_FindPESectionByName>:
  402720:	57                   	push   %rdi
  402721:	56                   	push   %rsi
  402722:	53                   	push   %rbx
  402723:	48 83 ec 20          	sub    $0x20,%rsp
  402727:	48 89 ce             	mov    %rcx,%rsi
  40272a:	e8 91 03 00 00       	callq  402ac0 <strlen>
  40272f:	48 83 f8 08          	cmp    $0x8,%rax
  402733:	77 6b                	ja     4027a0 <_FindPESectionByName+0x80>
  402735:	48 8b 15 24 1c 00 00 	mov    0x1c24(%rip),%rdx        # 404360 <.refptr.__image_base__>
  40273c:	66 81 3a 4d 5a       	cmpw   $0x5a4d,(%rdx)
  402741:	75 5d                	jne    4027a0 <_FindPESectionByName+0x80>
  402743:	48 89 d1             	mov    %rdx,%rcx
  402746:	e8 45 ff ff ff       	callq  402690 <_ValidateImageBase.part.0>
  40274b:	85 c0                	test   %eax,%eax
  40274d:	74 51                	je     4027a0 <_FindPESectionByName+0x80>
  40274f:	48 63 4a 3c          	movslq 0x3c(%rdx),%rcx
  402753:	48 01 d1             	add    %rdx,%rcx
  402756:	0f b7 41 14          	movzwl 0x14(%rcx),%eax
  40275a:	48 8d 5c 01 18       	lea    0x18(%rcx,%rax,1),%rbx
  40275f:	0f b7 41 06          	movzwl 0x6(%rcx),%eax
  402763:	85 c0                	test   %eax,%eax
  402765:	74 39                	je     4027a0 <_FindPESectionByName+0x80>
  402767:	83 e8 01             	sub    $0x1,%eax
  40276a:	48 8d 04 80          	lea    (%rax,%rax,4),%rax
  40276e:	48 8d 7c c3 28       	lea    0x28(%rbx,%rax,8),%rdi
  402773:	eb 09                	jmp    40277e <_FindPESectionByName+0x5e>
  402775:	48 83 c3 28          	add    $0x28,%rbx
  402779:	48 39 fb             	cmp    %rdi,%rbx
  40277c:	74 22                	je     4027a0 <_FindPESectionByName+0x80>
  40277e:	41 b8 08 00 00 00    	mov    $0x8,%r8d
  402784:	48 89 f2             	mov    %rsi,%rdx
  402787:	48 89 d9             	mov    %rbx,%rcx
  40278a:	e8 29 03 00 00       	callq  402ab8 <strncmp>
  40278f:	85 c0                	test   %eax,%eax
  402791:	75 e2                	jne    402775 <_FindPESectionByName+0x55>
  402793:	48 89 d8             	mov    %rbx,%rax
  402796:	48 83 c4 20          	add    $0x20,%rsp
  40279a:	5b                   	pop    %rbx
  40279b:	5e                   	pop    %rsi
  40279c:	5f                   	pop    %rdi
  40279d:	c3                   	retq   
  40279e:	66 90                	xchg   %ax,%ax
  4027a0:	31 db                	xor    %ebx,%ebx
  4027a2:	48 89 d8             	mov    %rbx,%rax
  4027a5:	48 83 c4 20          	add    $0x20,%rsp
  4027a9:	5b                   	pop    %rbx
  4027aa:	5e                   	pop    %rsi
  4027ab:	5f                   	pop    %rdi
  4027ac:	c3                   	retq   
  4027ad:	0f 1f 00             	nopl   (%rax)

00000000004027b0 <__mingw_GetSectionForAddress>:
  4027b0:	48 83 ec 28          	sub    $0x28,%rsp
  4027b4:	4c 8b 05 a5 1b 00 00 	mov    0x1ba5(%rip),%r8        # 404360 <.refptr.__image_base__>
  4027bb:	66 41 81 38 4d 5a    	cmpw   $0x5a4d,(%r8)
  4027c1:	48 89 ca             	mov    %rcx,%rdx
  4027c4:	75 57                	jne    40281d <__mingw_GetSectionForAddress+0x6d>
  4027c6:	4c 89 c1             	mov    %r8,%rcx
  4027c9:	e8 c2 fe ff ff       	callq  402690 <_ValidateImageBase.part.0>
  4027ce:	85 c0                	test   %eax,%eax
  4027d0:	74 4b                	je     40281d <__mingw_GetSectionForAddress+0x6d>
  4027d2:	49 63 40 3c          	movslq 0x3c(%r8),%rax
  4027d6:	48 89 d1             	mov    %rdx,%rcx
  4027d9:	4c 29 c1             	sub    %r8,%rcx
  4027dc:	49 01 c0             	add    %rax,%r8
  4027df:	41 0f b7 50 06       	movzwl 0x6(%r8),%edx
  4027e4:	41 0f b7 40 14       	movzwl 0x14(%r8),%eax
  4027e9:	85 d2                	test   %edx,%edx
  4027eb:	49 8d 44 00 18       	lea    0x18(%r8,%rax,1),%rax
  4027f0:	74 2b                	je     40281d <__mingw_GetSectionForAddress+0x6d>
  4027f2:	83 ea 01             	sub    $0x1,%edx
  4027f5:	48 8d 14 92          	lea    (%rdx,%rdx,4),%rdx
  4027f9:	4c 8d 4c d0 28       	lea    0x28(%rax,%rdx,8),%r9
  4027fe:	66 90                	xchg   %ax,%ax
  402800:	44 8b 40 0c          	mov    0xc(%rax),%r8d
  402804:	4c 39 c1             	cmp    %r8,%rcx
  402807:	4c 89 c2             	mov    %r8,%rdx
  40280a:	72 08                	jb     402814 <__mingw_GetSectionForAddress+0x64>
  40280c:	03 50 08             	add    0x8(%rax),%edx
  40280f:	48 39 d1             	cmp    %rdx,%rcx
  402812:	72 0b                	jb     40281f <__mingw_GetSectionForAddress+0x6f>
  402814:	48 83 c0 28          	add    $0x28,%rax
  402818:	4c 39 c8             	cmp    %r9,%rax
  40281b:	75 e3                	jne    402800 <__mingw_GetSectionForAddress+0x50>
  40281d:	31 c0                	xor    %eax,%eax
  40281f:	48 83 c4 28          	add    $0x28,%rsp
  402823:	c3                   	retq   
  402824:	66 90                	xchg   %ax,%ax
  402826:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  40282d:	00 00 00 

0000000000402830 <__mingw_GetSectionCount>:
  402830:	48 83 ec 28          	sub    $0x28,%rsp
  402834:	48 8b 15 25 1b 00 00 	mov    0x1b25(%rip),%rdx        # 404360 <.refptr.__image_base__>
  40283b:	45 31 c0             	xor    %r8d,%r8d
  40283e:	66 81 3a 4d 5a       	cmpw   $0x5a4d,(%rdx)
  402843:	74 0b                	je     402850 <__mingw_GetSectionCount+0x20>
  402845:	44 89 c0             	mov    %r8d,%eax
  402848:	48 83 c4 28          	add    $0x28,%rsp
  40284c:	c3                   	retq   
  40284d:	0f 1f 00             	nopl   (%rax)
  402850:	48 89 d1             	mov    %rdx,%rcx
  402853:	e8 38 fe ff ff       	callq  402690 <_ValidateImageBase.part.0>
  402858:	85 c0                	test   %eax,%eax
  40285a:	74 e9                	je     402845 <__mingw_GetSectionCount+0x15>
  40285c:	48 63 42 3c          	movslq 0x3c(%rdx),%rax
