YEAR,STATION,Entries 0600-1000,Exits 0600-1000,Entries 1000-1500,Exits 1000-1500,Entries 1500-1900,Exits 1500-1900,Entries 1900 -0600,Exits 1900 -0600,Entries 0000-2359,Exits 0000-2359,LAT,LONG
2017,Meadowbank,2830,860,940,550,900,2050,290,1110,4960,4570,-33.815662,151.090072
2018,Meadowbank,3020,990,1020,570,990,2230,340,1140,5370,4930,-33.815662,151.090072
2019,Meadowbank,3360,800,1130,630,930,2570,360,1190,5780,5190,-33.815662,151.090072
Feb 2020,Meadowbank,3310,880,960,580,1000,2560,390,1140,5660,5160,-33.815662,151.090072
May 2020,Meadowbank,460,160,270,200,230,460,130,170,1090,990,-33.815662,151.090072
Sep 2020,Meadowbank,1260,350,560,340,490,1090,200,500,2510,2280,-33.815662,151.090072
2016,Merrylands,2710,600,1190,1060,900,2560,650,1030,5450,5250,-33.836801,150.992291
2017,Merrylands,2830,640,1230,1110,1050,2820,740,1120,5850,5690,-33.836801,150.992291
2018,Merrylands,2800,760,1360,1180,1160,2810,840,1190,6160,5940,-33.836801,150.992291
2019,Merrylands,2800,760,1450,1280,1250,2890,920,1270,6420,6200,-33.836801,150.992291
Feb 2020,Merrylands,2680,680,1350,1230,1140,2810,990,1350,6160,6070,-33.836801,150.992291
May 2020,Merrylands,740,380,510,490,420,700,470,300,2140,1870,-33.836801,150.992291
Sep 2020,Merrylands,1330,560,950,880,860,1590,710,730,3850,3760,-33.836801,150.992291
2016,Metford,-,-,-,-,-,-,-,-,70,70,-32.765420,151.618213
2017,Metford,-,-,-,-,-,-,-,-,100,100,-32.765420,151.618213
2018,Metford,-,-,-,-,-,-,-,-,90,90,-32.765420,151.618213
2019,Metford,-,-,-,-,-,-,-,-,120,120,-32.765420,151.618213
Feb 2020,Metford,-,-,-,-,-,-,-,-,110,120,-32.765420,151.618213
2016,Milsons Point,2660,2600,1730,1530,2870,2710,830,1230,8090,8070,-33.845871,151.212061
2017,Milsons Point,2700,2820,1730,1570,3000,2820,940,1280,8370,8490,-33.845871,151.212061
2018,Milsons Point,2710,2590,1560,1450,2850,2780,840,1230,7960,8050,-33.845871,151.212061
2019,Milsons Point,2670,2600,1560,1480,2870,2710,850,1230,7950,8020,-33.845871,151.212061
Feb 2020,Milsons Point,2660,2850,1880,1600,3050,2850,1030,1300,8620,8600,-33.845871,151.212061
May 2020,Milsons Point,420,550,490,430,590,540,180,170,1680,1690,-33.845871,151.212061
Sep 2020,Milsons Point,1080,1470,930,870,1650,1270,460,550,4120,4160,-33.845871,151.212061
2016,Minnamurra,-,-,-,-,-,-,-,-,110,90,-34.626330,150.853010
2017,Minnamurra,-,-,-,-,-,-,-,-,110,100,-34.626330,150.853010
2018,Minnamurra,-,-,-,-,-,-,-,-,130,120,-34.626330,150.853010
2019,Minnamurra,-,-,-,-,-,-,-,-,120,110,-34.626330,150.853010
Feb 2020,Minnamurra,-,-,-,-,-,-,-,-,160,130,-34.626330,150.853010
Sep 2020,Minnamurra,-,-,-,-,-,-,-,-,40,50,-34.626330,150.853010
2016,Minto,2100,280,450,390,360,1930,480,660,3390,3260,-34.027550,150.842419
2017,Minto,2220,290,500,430,400,2080,480,670,3600,3470,-34.027550,150.842419
2018,Minto,2170,300,520,460,430,2110,570,690,3690,3560,-34.027550,150.842419
2019,Minto,2200,350,530,480,500,2090,570,700,3800,3620,-34.027550,150.842419
Feb 2020,Minto,2160,350,480,400,480,2000,510,710,3630,3460,-34.027550,150.842419
May 2020,Minto,410,170,180,170,200,510,280,170,1070,1020,-34.027550,150.842419
Sep 2020,Minto,900,280,300,240,370,960,330,330,1900,1810,-34.027550,150.842419
2016,Miranda,1250,860,810,960,1020,1440,410,440,3490,3700,-34.036075,151.101971
2017,Miranda,1280,820,800,920,1140,1580,440,440,3660,3760,-34.036075,151.101971
2018,Miranda,1410,1010,920,1050,1200,1630,440,470,3970,4160,-34.036075,151.101971
2019,Miranda,1460,950,990,1040,1210,1650,400,470,4060,4110,-34.036075,151.101971
Feb 2020,Miranda,1560,970,1020,1080,1230,1760,460,510,4270,4320,-34.036075,151.101971
May 2020,Miranda,240,410,400,410,420,350,140,80,1200,1250,-34.036075,151.101971
Sep 2020,Miranda,630,750,810,810,860,860,270,200,2570,2620,-34.036075,151.101971
2016,Mittagong,-,-,-,-,-,-,-,-,140,140,-34.452521,150.448374
2017,Mittagong,-,-,-,-,-,-,-,-,160,150,-34.452521,150.448374
2018,Mittagong,-,-,-,-,-,-,-,-,190,160,-34.452521,150.448374
2019,Mittagong,-,-,-,-,-,-,-,-,210,180,-34.452521,150.448374
Feb 2020,Mittagong,-,-,-,-,-,-,-,-,220,170,-34.452521,150.448374
May 2020,Mittagong,-,-,-,-,-,-,-,-,40,40,-34.452521,150.448374
Sep 2020,Mittagong,-,-,-,-,-,-,-,-,110,90,-34.452521,150.448374
2016,Morisset,460,60,130,140,90,390,100,120,780,710,-33.108978,151.488133
2017,Morisset,450,60,160,180,110,400,140,130,860,770,-33.108978,151.488133
2018,Morisset,520,60,150,160,100,480,150,130,920,830,-33.108978,151.488133
2019,Morisset,480,50,160,150,90,430,150,130,880,760,-33.108978,151.488133
Feb 2020,Morisset,460,50,150,150,100,430,150,130,860,760,-33.108978,151.488133
May 2020,Morisset,-,-,-,-,-,-,-,-,170,150,-33.108978,151.488133
Sep 2020,Morisset,190,40,90,80,50,180,60,40,390,340,-33.108978,151.488133
2016,Mortdale,2440,220,620,470,390,1900,280,770,3730,3360,-33.971142,151.080946
2017,Mortdale,2430,220,660,510,410,1900,280,780,3780,3410,-33.971142,151.080946
2018,Mortdale,2630,230,690,550,420,2060,320,880,4060,3720,-33.971142,151.080946
2019,Mortdale,2580,230,710,580,460,2060,320,890,4070,3760,-33.971142,151.080946
Feb 2020,Mortdale,2550,230,640,470,450,1970,340,860,3980,3530,-33.971142,151.080946
May 2020,Mortdale,460,110,270,210,180,490,150,180,1060,990,-33.971142,151.080946
Sep 2020,Mortdale,1040,190,450,340,300,930,220,380,2010,1840,-33.971142,151.080946
2016,Moss Vale,-,-,-,-,-,-,-,-,170,140,-34.547991,150.371987
2017,Moss Vale,-,-,-,-,-,-,-,-,190,170,-34.547991,150.371987
2018,Moss Vale,-,-,-,-,-,-,-,-,220,200,-34.547991,150.371987
2019,Moss Vale,-,-,-,-,-,-,-,-,210,180,-34.547991,150.371987
Feb 2020,Moss Vale,-,-,-,-,-,-,-,-,220,200,-34.547991,150.371987
May 2020,Moss Vale,-,-,-,-,-,-,-,-,50,50,-34.547991,150.371987
Sep 2020,Moss Vale,-,-,-,-,-,-,-,-,110,100,-34.547991,150.371987
2016,Mount Colah,-,-,-,-,-,-,-,-,500,500,-33.671292,151.115098
2017,Mount Colah,-,-,-,-,-,-,-,-,580,530,-33.671292,151.115098
2018,Mount Colah,-,-,-,-,-,-,-,-,650,570,-33.671292,151.115098
2019,Mount Colah,610,40,90,70,60,440,40,140,800,690,-33.671292,151.115098
Feb 2020,Mount Colah,-,-,-,-,-,-,-,-,820,730,-33.671292,151.115098
May 2020,Mount Colah,-,-,-,-,-,-,-,-,130,130,-33.671292,151.115098
Sep 2020,Mount Colah,-,-,-,-,-,-,-,-,370,320,-33.671292,151.115098
2016,Mount Druitt,4500,730,1300,1130,880,4370,850,1170,7530,7400,-33.769273,150.820052
2017,Mount Druitt,4710,860,1430,1290,1020,4510,980,1210,8140,7870,-33.769273,150.820052
2018,Mount Druitt,4530,870,1480,1320,1050,4620,1090,1230,8150,8040,-33.769273,150.820052
2019,Mount Druitt,4590,920,1620,1440,1170,4700,1160,1240,8540,8300,-33.769273,150.820052
Feb 2020,Mount Druitt,4300,990,1460,1360,1230,4220,1080,1310,8070,7880,-33.769273,150.820052
May 2020,Mount Druitt,870,430,640,620,510,1330,620,310,2640,2690,-33.769273,150.820052
Sep 2020,Mount Druitt,1910,730,980,960,850,2240,740,600,4480,4530,-33.769273,150.820052
2016,Mount Kuring-gai,-,-,-,-,-,-,-,-,250,240,-33.653807,151.136856
2017,Mount Kuring-gai,-,-,-,-,-,-,-,-,280,250,-33.653807,151.136856
2018,Mount Kuring-gai,-,-,-,-,-,-,-,-,290,280,-33.653807,151.136856
2019,Mount Kuring-gai,-,-,-,-,-,-,-,-,350,350,-33.653807,151.136856
Feb 2020,Mount Kuring-gai,-,-,-,-,-,-,-,-,280,290,-33.653807,151.136856
May 2020,Mount Kuring-gai,-,-,-,-,-,-,-,-,50,50,-33.653807,151.136856
Sep 2020,Mount Kuring-gai,-,-,-,-,-,-,-,-,140,150,-33.653807,151.136856
2016,Mount Victoria,-,-,-,-,-,-,-,-,160,190,-33.588222,150.256939
2017,Mount Victoria,-,-,-,-,-,-,-,-,100,90,-33.588222,150.256939
2018,Mount Victoria,-,-,-,-,-,-,-,-,100,80,-33.588222,150.256939
2019,Mount Victoria,-,-,-,-,-,-,-,-,80,90,-33.588222,150.256939
May 2020,Mount Victoria,-,-,-,-,-,-,-,-,50,60,-33.588222,150.256939
Sep 2020,Mount Victoria,-,-,-,-,-,-,-,-,40,40,-33.588222,150.256939
2016,Mulgrave,-,-,-,-,-,-,-,-,350,350,-33.626499,150.829898
2017,Mulgrave,-,-,-,-,-,-,-,-,390,360,-33.626499,150.829898
2018,Mulgrave,-,-,-,-,-,-,-,-,380,360,-33.626499,150.829898
2019,Mulgrave,-,-,-,-,-,-,-,-,410,370,-33.626499,150.829898
Feb 2020,Mulgrave,-,-,-,-,-,-,-,-,350,340,-33.626499,150.829898
May 2020,Mulgrave,-,-,-,-,-,-,-,-,100,110,-33.626499,150.829898
Sep 2020,Mulgrave,-,-,-,-,-,-,-,-,170,180,-33.626499,150.829898
2016,Museum,1320,7090,2180,2580,6800,1970,1920,860,12220,12500,-33.876173,151.209596
2017,Museum,1390,8160,2540,2900,7640,2420,2360,1020,13930,14500,-33.876173,151.209596
2018,Museum,1330,8070,2540,2850,7570,2500,2290,1040,13730,14460,-33.876173,151.209596
2019,Museum,1310,8470,2670,3050,8050,2670,2380,1030,14410,15220,-33.876173,151.209596
Feb 2020,Museum,1370,7690,2420,2640,7360,2440,2310,1180,13460,13950,-33.876173,151.209596
May 2020,Museum,300,1320,580,560,1440,430,360,230,2680,2540,-33.876173,151.209596
Sep 2020,Museum,520,2820,1020,1080,2740,890,940,440,5220,5230,-33.876173,151.209596
2016,Narara,-,-,-,-,-,-,-,-,440,350,-33.394661,151.344467
2017,Narara,-,-,-,-,-,-,-,-,430,360,-33.394661,151.344467
2018,Narara,-,-,-,-,-,-,-,-,420,350,-33.394661,151.344467
2019,Narara,-,-,-,-,-,-,-,-,410,350,-33.394661,151.344467
Feb 2020,Narara,-,-,-,-,-,-,-,-,370,350,-33.394661,151.344467
May 2020,Narara,-,-,-,-,-,-,-,-,80,70,-33.394661,151.344467
Sep 2020,Narara,-,-,-,-,-,-,-,-,140,110,-33.394661,151.344467
2016,Narwee,1220,60,310,180,160,890,130,470,1820,1600,-33.947666,151.070722
2017,Narwee,1310,70,350,210,160,980,130,500,1950,1760,-33.947666,151.070722
2018,Narwee,1310,80,370,220,180,1070,160,460,2020,1830,-33.947666,151.070722
2019,Narwee,1360,90,360,270,200,1060,180,520,2100,1940,-33.947666,151.070722
Feb 2020,Narwee,1300,90,340,220,200,1020,180,530,2020,1860,-33.947666,151.070722
May 2020,Narwee,260,50,110,90,70,290,90,60,530,490,-33.947666,151.070722
Sep 2020,Narwee,530,90,200,150,120,500,120,180,970,920,-33.947666,151.070722
2016,Newtown,3420,1550,1530,1610,2120,4120,1440,1680,8510,8960,-33.897913,151.178887
2017,Newtown,3770,1760,1840,1880,2350,4920,1360,1590,9320,10150,-33.897913,151.178887
2018,Newtown,3910,2120,1890,2100,2630,5680,2420,2320,10850,12220,-33.897913,151.178887
2019,Newtown,3980,2310,2000,2250,2780,5660,2050,1920,10810,12140,-33.897913,151.178887
Feb 2020,Newtown,3980,2390,2130,2300,3060,5920,2280,2400,11450,13010,-33.897913,151.178887
May 2020,Newtown,600,660,570,680,770,1020,320,270,2260,2630,-33.897913,151.178887
Sep 2020,Newtown,1540,1390,1370,1480,1670,2770,1170,960,5750,6600,-33.897913,151.178887
2016,Niagara Park,-,-,-,-,-,-,-,-,150,120,-33.383149,151.354489
2017,Niagara Park,-,-,-,-,-,-,-,-,160,140,-33.383149,151.354489
2018,Niagara Park,-,-,-,-,-,-,-,-,160,140,-33.383149,151.354489
2019,Niagara Park,-,-,-,-,-,-,-,-,160,140,-33.383149,151.354489
Feb 2020,Niagara Park,-,-,-,-,-,-,-,-,170,140,-33.383149,151.354489
May 2020,Niagara Park,-,-,-,-,-,-,-,-,50,40,-33.383149,151.354489
Sep 2020,Niagara Park,-,-,-,-,-,-,-,-,70,60,-33.383149,151.354489
2016,Normanhurst,1050,270,310,170,400,790,60,260,1820,1490,-33.720778,151.097027
2017,Normanhurst,1150,300,300,180,450,810,60,290,1960,1580,-33.720778,151.097027
2018,Normanhurst,1150,330,330,190,470,800,60,310,2010,1630,-33.720778,151.097027
2019,Normanhurst,960,340,310,160,510,680,60,240,1840,1420,-33.720778,151.097027
Feb 2020,Normanhurst,910,400,310,150,570,680,70,220,1860,1450,-33.720778,151.097027
May 2020,Normanhurst,-,-,-,-,-,-,-,-,190,160,-33.720778,151.097027
Sep 2020,Normanhurst,270,260,230,90,360,220,40,70,900,640,-33.720778,151.097027
2016,North Ryde,260,1520,290,290,1480,330,150,150,2180,2290,-33.794582,151.137878
2017,North Ryde,280,1860,360,340,1800,340,180,140,2620,2680,-33.794582,151.137878
2018,North Ryde,450,1800,420,350,1730,470,250,240,2850,2860,-33.794582,151.137878
2019,North Ryde,860,1800,490,400,1830,850,250,480,3430,3530,-33.794582,151.137878
Feb 2020,North Ryde,870,1700,540,390,1740,880,260,500,3410,3470,-33.794582,151.137878
May 2020,North Ryde,140,340,150,140,280,160,100,90,670,730,-33.794582,151.137878
Sep 2020,North Ryde,430,630,310,300,690,520,210,270,1640,1720,-33.794582,151.137878
2016,North Strathfield,1600,410,390,310,560,1350,190,590,2740,2660,-33.859435,151.088354
2017,North Strathfield,1720,350,430,330,500,1460,190,600,2840,2740,-33.859435,151.088354
2018,North Strathfield,1740,390,460,330,620,1540,230,660,3050,2920,-33.859435,151.088354
2019,North Strathfield,1760,400,480,340,590,1580,250,660,3080,2980,-33.859435,151.088354
Feb 2020,North Strathfield,1640,390,410,330,590,1580,290,640,2930,2940,-33.859435,151.088354
May 2020,North Strathfield,250,90,140,110,130,300,110,90,630,590,-33.859435,151.088354
Sep 2020,North Strathfield,600,250,270,220,360,630,180,280,1410,1380,-33.859435,151.088354
2016,North Sydney,3220,21540,5020,5030,20460,4090,2810,1570,31510,32230,-33.841013,151.207437
2017,North Sydney,3740,22580,5270,5170,21360,4800,2980,2050,33350,34600,-33.841013,151.207437
2018,North Sydney,3700,22200,5530,5350,20860,4740,2910,1900,33000,34190,-33.841013,151.207437
2019,North Sydney,3580,22860,5460,5260,21710,4750,2930,1730,33680,34600,-33.841013,151.207437
Feb 2020,North Sydney,3710,24540,5370,5080,23080,4810,3290,2330,35450,36760,-33.841013,151.207437
May 2020,North Sydney,450,2290,1090,820,2100,830,550,410,4190,4350,-33.841013,151.207437
Sep 2020,North Sydney,1240,6880,2500,1990,6310,1910,1240,780,11290,11560,-33.841013,151.207437
2016,North Wollongong,470,680,460,500,690,430,250,240,1870,1850,-34.412177,150.891431
2017,North Wollongong,520,960,650,680,950,500,270,240,2390,2380,-34.412177,150.891431
2018,North Wollongong,560,870,580,600,850,550,290,250,2280,2270,-34.412177,150.891431
2019,North Wollongong,540,1030,700,650,1010,530,270,260,2520,2470,-34.412177,150.891431
Feb 2020,North Wollongong,590,420,330,240,370,480,190,300,1480,1440,-34.412177,150.891431
May 2020,North Wollongong,-,-,-,-,-,-,-,-,220,200,-34.412177,150.891431
Sep 2020,North Wollongong,190,170,150,100,160,200,90,110,590,580,-34.412177,150.891431
2016,Oak Flats,230,80,60,60,110,170,60,100,460,410,-34.571867,150.820425
2017,Oak Flats,300,70,90,90,140,220,80,120,610,500,-34.571867,150.820425
2018,Oak Flats,290,80,90,80,140,220,90,110,610,490,-34.571867,150.820425
2019,Oak Flats,270,120,90,90,180,210,90,120,630,540,-34.571867,150.820425
Feb 2020,Oak Flats,260,90,80,80,120,210,90,110,550,490,-34.571867,150.820425
May 2020,Oak Flats,-,-,-,-,-,-,-,-,110,110,-34.571867,150.820425
Sep 2020,Oak Flats,-,-,-,-,-,-,-,-,260,200,-34.571867,150.820425
2016,Oatley,1390,180,350,230,280,1210,110,390,2130,2010,-33.980164,151.079008
2017,Oatley,1530,210,380,290,320,1290,120,400,2350,2190,-33.980164,151.079008
2018,Oatley,1620,200,400,360,310,1360,140,420,2470,2340,-33.980164,151.079008
2019,Oatley,1690,190,410,330,300,1430,150,440,2550,2390,-33.980164,151.079008
Feb 2020,Oatley,1700,230,340,300,340,1400,160,440,2540,2370,-33.980164,151.079008
May 2020,Oatley,180,70,100,90,70,200,50,50,400,410,-33.980164,151.079008
Sep 2020,Oatley,630,110,230,210,170,610,80,150,1110,1080,-33.980164,151.079008
2016,Olympic Park,260,1620,460,410,1570,320,230,180,2520,2530,-33.846490,151.069582
2017,Olympic Park,280,2330,720,430,2070,390,320,200,3390,3350,-33.846490,151.069582
2018,Olympic Park,270,2060,650,460,1980,420,290,190,3190,3130,-33.846490,151.069582
2019,Olympic Park,100,680,200,160,650,160,90,80,1040,1080,-33.846490,151.069582
Feb 2020,Olympic Park,340,1790,780,460,1490,790,1690,790,4300,3830,-33.846490,151.069582
May 2020,Olympic Park,-,-,-,-,-,-,-,-,460,430,-33.846490,151.069582
Sep 2020,Olympic Park,80,160,100,90,170,120,60,60,410,430,-33.846490,151.069582
2016,Otford,-,-,-,-,-,-,-,-,50,50,-34.210781,151.005645
2017,Otford,-,-,-,-,-,-,-,-,60,40,-34.210781,151.005645
2018,Otford,-,-,-,-,-,-,-,-,40,40,-34.210781,151.005645
2019,Otford,-,-,-,-,-,-,-,-,60,60,-34.210781,151.005645
Feb 2020,Otford,-,-,-,-,-,-,-,-,60,70,-34.210781,151.005645
2016,Ourimbah,160,110,80,60,90,130,40,60,370,360,-33.359570,151.369968
2017,Ourimbah,170,100,80,70,100,130,40,60,390,360,-33.359570,151.369968
2018,Ourimbah,180,120,90,60,90,150,40,60,400,390,-33.359570,151.369968
2019,Ourimbah,-,-,-,-,-,-,-,-,380,360,-33.359570,151.369968
Feb 2020,Ourimbah,-,-,-,-,-,-,-,-,270,270,-33.359570,151.369968
May 2020,Ourimbah,-,-,-,-,-,-,-,-,50,50,-33.359570,151.369968
Sep 2020,Ourimbah,-,-,-,-,-,-,-,-,160,150,-33.359570,151.369968
2016,Padstow,2680,380,650,430,510,2280,350,860,4190,3950,-33.951851,151.032049
2017,Padstow,2820,430,670,520,600,2440,380,880,4470,4270,-33.951851,151.032049
2018,Padstow,2410,340,550,440,450,1970,400,780,3810,3530,-33.951851,151.032049
2019,Padstow,2220,350,520,410,440,1850,380,690,3560,3300,-33.951851,151.032049
Feb 2020,Padstow,2250,330,510,400,420,1840,390,700,3570,3270,-33.951851,151.032049
May 2020,Padstow,330,130,140,150,140,350,170,100,780,730,-33.951851,151.032049
Sep 2020,Padstow,760,220,300,220,260,720,240,270,1560,1430,-33.951851,151.032049
2016,Panania,970,230,230,150,240,780,110,240,1550,1400,-33.954269,150.998282
2017,Panania,1050,240,270,150,220,850,110,260,1650,1500,-33.954269,150.998282
2018,Panania,1120,230,290,190,260,940,130,310,1800,1670,-33.954269,150.998282
2019,Panania,1170,290,340,230,320,950,160,380,1990,1850,-33.954269,150.998282
Feb 2020,Panania,1190,280,330,220,280,980,170,370,1970,1850,-33.954269,150.998282
May 2020,Panania,180,60,90,90,60,210,70,40,400,400,-33.954269,150.998282
Sep 2020,Panania,460,180,200,140,190,450,120,140,970,910,-33.954269,150.998282
2016,Parramatta,9370,16230,7020,6750,16930,11100,3240,4160,36560,38240,-33.817562,151.005154
2017,Parramatta,10810,17410,8040,7870,18310,12940,3630,4680,40790,42900,-33.817562,151.005154
2018,Parramatta,12780,18560,8620,8530,19630,14910,4480,5440,45510,47440,-33.817562,151.005154
2019,Parramatta,13520,21040,9740,9430,22110,16340,5410,6040,50780,52850,-33.817562,151.005154
Feb 2020,Parramatta,13360,21390,8930,8650,22340,15420,5310,6090,49940,51550,-33.817562,151.005154
May 2020,Parramatta,2210,4300,2760,2800,5050,3480,1420,1420,11440,12000,-33.817562,151.005154
Sep 2020,Parramatta,4690,8590,5310,5070,9460,6590,2890,2820,22350,23070,-33.817562,151.005154
2016,Pendle Hill,2030,330,500,380,440,1560,240,650,3210,2920,-33.801402,150.956333
2017,Pendle Hill,2210,330,510,410,470,1820,280,620,3470,3180,-33.801402,150.956333
2018,Pendle Hill,2370,310,590,500,520,2000,310,680,3790,3490,-33.801402,150.956333
2019,Pendle Hill,2390,340,640,540,560,2060,310,690,3900,3630,-33.801402,150.956333
Feb 2020,Pendle Hill,2400,360,600,510,570,2100,350,730,3920,3700,-33.801402,150.956333
May 2020,Pendle Hill,380,180,280,250,220,440,170,160,1050,1030,-33.801402,150.956333
Sep 2020,Pendle Hill,860,270,380,330,380,860,240,310,1860,1770,-33.801402,150.956333
2016,Pennant Hills,1890,540,580,440,680,1810,180,600,3330,3390,-33.737892,151.072608
2017,Pennant Hills,2060,550,650,510,760,2060,170,580,3640,3700,-33.737892,151.072608
2018,Pennant Hills,2030,550,620,540,680,1900,170,570,3500,3560,-33.737892,151.072608
2019,Pennant Hills,1780,580,590,500,740,1550,190,540,3300,3170,-33.737892,151.072608
Feb 2020,Pennant Hills,1260,470,450,420,580,1070,150,400,2440,2360,-33.737892,151.072608
May 2020,Pennant Hills,130,80,100,100,90,150,40,40,360,370,-33.737892,151.072608
Sep 2020,Pennant Hills,450,250,270,230,320,460,120,180,1160,1120,-33.737892,151.072608
2016,Penrith,3840,1440,1230,1190,1420,3980,890,1000,7380,7610,-33.750094,150.696436
2017,Penrith,4070,1640,1320,1250,1640,4240,990,1120,8020,8250,-33.750094,150.696436
2018,Penrith,4220,1680,1410,1350,1650,4540,1120,1160,8400,8730,-33.750094,150.696436
2019,Penrith,4490,1840,1510,1420,1930,4860,1190,1260,9120,9380,-33.750094,150.696436
Feb 2020,Penrith,4360,1770,1360,1420,1970,4590,1210,1290,8900,9070,-33.750094,150.696436
May 2020,Penrith,720,580,510,560,600,1060,520,230,2350,2430,-33.750094,150.696436
Sep 2020,Penrith,1640,1240,920,930,1330,2060,780,510,4670,4740,-33.750094,150.696436
2016,Penshurst,2100,210,610,370,350,1570,270,830,3330,2980,-33.966208,151.088755
2017,Penshurst,2200,210,650,390,390,1660,290,850,3530,3110,-33.966208,151.088755
2018,Penshurst,2350,250,690,400,450,1780,360,980,3850,3410,-33.966208,151.088755
2019,Penshurst,2310,280,730,430,490,1800,390,960,3920,3470,-33.966208,151.088755
Feb 2020,Penshurst,2210,260,660,420,450,1680,400,930,3720,3290,-33.966208,151.088755
May 2020,Penshurst,440,90,300,210,180,470,190,240,1110,1010,-33.966208,151.088755
Sep 2020,Penshurst,1000,170,490,320,310,850,260,450,2060,1790,-33.966208,151.088755
2016,Petersham,1570,720,710,430,760,1370,260,620,3300,3140,-33.893815,151.155655
2017,Petersham,1800,810,700,510,950,1610,250,580,3700,3510,-33.893815,151.155655
2018,Petersham,1770,930,660,460,1020,1550,300,660,3750,3600,-33.893815,151.155655
2019,Petersham,1770,920,680,480,1010,1650,320,660,3780,3710,-33.893815,151.155655
Feb 2020,Petersham,1770,880,710,490,1000,1730,390,730,3870,3830,-33.893815,151.155655
May 2020,Petersham,280,190,210,180,230,340,110,100,830,810,-33.893815,151.155655
Sep 2020,Petersham,730,520,430,330,630,820,210,290,2000,1960,-33.893815,151.155655
2016,Picton,-,-,-,-,-,-,-,-,220,200,-34.179455,150.612745
2017,Picton,-,-,-,-,-,-,-,-,240,210,-34.179455,150.612745
2018,Picton,-,-,-,-,-,-,-,-,230,190,-34.179455,150.612745
2019,Picton,-,-,-,-,-,-,-,-,220,200,-34.179455,150.612745
Feb 2020,Picton,-,-,-,-,-,-,-,-,220,180,-34.179455,150.612745
May 2020,Picton,-,-,-,-,-,-,-,-,50,50,-34.179455,150.612745
Sep 2020,Picton,-,-,-,-,-,-,-,-,90,80,-34.179455,150.612745
2016,Point Clare,-,-,-,-,-,-,-,-,230,200,-33.446232,151.328337
2017,Point Clare,-,-,-,-,-,-,-,-,260,230,-33.446232,151.328337
2018,Point Clare,-,-,-,-,-,-,-,-,260,230,-33.446232,151.328337
2019,Point Clare,-,-,-,-,-,-,-,-,280,230,-33.446232,151.328337
Feb 2020,Point Clare,-,-,-,-,-,-,-,-,240,220,-33.446232,151.328337
May 2020,Point Clare,-,-,-,-,-,-,-,-,50,40,-33.446232,151.328337
Sep 2020,Point Clare,-,-,-,-,-,-,-,-,120,100,-33.446232,151.328337
2016,Port Kembla,-,-,-,-,-,-,-,-,90,70,-34.477189,150.902857
2017,Port Kembla,-,-,-,-,-,-,-,-,70,60,-34.477189,150.902857
2018,Port Kembla,-,-,-,-,-,-,-,-,80,70,-34.477189,150.902857
2019,Port Kembla,-,-,-,-,-,-,-,-,90,70,-34.477189,150.902857
Feb 2020,Port Kembla,-,-,-,-,-,-,-,-,80,60,-34.477189,150.902857
Sep 2020,Port Kembla,-,-,-,-,-,-,-,-,60,50,-34.477189,150.902857
2016,Punchbowl,1520,230,610,460,350,1380,280,570,2760,2640,-33.925410,151.055576
2017,Punchbowl,1680,250,650,490,390,1500,260,490,2980,2730,-33.925410,151.055576
2018,Punchbowl,1610,260,680,480,390,1450,340,620,3020,2810,-33.925410,151.055576
2019,Punchbowl,1530,300,680,490,470,1450,360,590,3040,2830,-33.925410,151.055576
Feb 2020,Punchbowl,1460,300,600,460,420,1340,340,530,2820,2630,-33.925410,151.055576
May 2020,Punchbowl,330,160,240,200,210,430,220,160,1000,950,-33.925410,151.055576
Sep 2020,Punchbowl,710,240,400,320,340,750,270,300,1720,1610,-33.925410,151.055576
2016,Pymble,1530,510,400,290,760,1160,100,460,2790,2420,-33.744811,151.142236
2017,Pymble,1600,610,420,290,830,1270,120,450,2970,2620,-33.744811,151.142236
2018,Pymble,1610,600,390,310,790,1240,100,440,2890,2590,-33.744811,151.142236
2019,Pymble,1660,620,410,320,810,1340,120,490,3000,2770,-33.744811,151.142236
Feb 2020,Pymble,1760,580,380,310,790,1340,150,460,3080,2690,-33.744811,151.142236
May 2020,Pymble,-,-,-,-,-,-,-,-,380,360,-33.744811,151.142236
Sep 2020,Pymble,520,350,210,180,490,510,80,140,1300,1180,-33.744811,151.142236
2016,Quakers Hill,2330,370,490,360,430,1830,210,510,3460,3070,-33.727293,150.886104
2017,Quakers Hill,2550,460,620,440,490,2060,260,550,3920,3510,-33.727293,150.886104
2018,Quakers Hill,2730,560,740,550,670,2310,300,580,4440,4000,-33.727293,150.886104
2019,Quakers Hill,2940,540,840,650,670,2510,350,620,4800,4320,-33.727293,150.886104
Feb 2020,Quakers Hill,2460,330,490,390,480,2090,330,540,3760,3350,-33.727293,150.886104
May 2020,Quakers Hill,320,60,170,100,100,390,120,90,710,640,-33.727293,150.886104
Sep 2020,Quakers Hill,830,150,340,220,240,800,190,230,1600,1400,-33.727293,150.886104
2016,Redfern,5050,12460,4910,7160,12030,5750,4280,2610,26270,27980,-33.892099,151.198839
2017,Redfern,5400,14620,5950,8390,14290,6690,4930,3040,30570,32740,-33.892099,151.198839
2018,Redfern,5380,14520,5610,7980,14230,6690,4890,3000,30110,32190,-33.892099,151.198839
2019,Redfern,5510,14960,6160,8270,14980,7130,5140,3190,31790,33550,-33.892099,151.198839
